STUDENT_ID,FIELD_OF_STUDY_ID,DEPARTMENT_ID,DEGREE,YEAR,TIME_ID
220,3,3,2,1,201810
221,7,6,2,2,201310
222,5,4,1,1,201310
223,7,6,2,1,201810
224,10,8,2,1,201810
225,5,4,1,1,201310
226,3,3,1,1,201610
227,10,8,2,1,201610
228,3,3,1,3,201610
229,1,1,2,1,201910
230,5,4,2,1,201910
231,10,8,2,1,201910
232,7,6,2,2,201410
233,1,1,2,2,201410
234,1,1,2,2,202010
235,6,5,1,1,201310
236,6,5,1,2,201610
237,3,3,2,1,201410
238,7,6,2,2,201710
239,1,1,2,2,201710
240,9,8,1,1,201710
241,9,8,2,2,201310
242,6,5,1,2,201410
243,2,2,2,1,201410
244,2,2,1,1,201310
245,1,1,2,1,202010
246,10,8,2,1,201610
247,5,4,2,1,201710
248,3,3,2,2,201510
249,3,3,1,1,202010
250,2,2,2,1,201910
251,5,4,1,1,201610
252,8,7,2,1,201710
253,5,4,2,1,201410
254,7,6,1,2,201910
255,10,8,1,3,201610
256,5,4,2,2,201710
257,7,6,2,2,201710
258,10,8,1,3,201310
259,6,5,2,2,201910
260,6,5,1,2,201710
261,4,2,1,1,201910
262,1,1,2,1,201810
263,6,5,1,1,201610
264,10,8,1,3,201710
265,3,3,1,2,202010
266,5,4,1,1,201710
267,6,5,1,3,201610
268,8,7,1,3,201910
269,2,2,1,2,201510
270,8,7,2,1,201410
271,10,8,2,1,202010
272,9,8,2,2,201610
273,1,1,2,1,201810
274,8,7,2,2,201910
275,7,6,1,1,201410
276,9,8,1,1,201310
277,9,8,1,3,201310
278,6,5,1,1,201910
279,8,7,2,2,201410
280,3,3,2,1,201310
281,9,8,2,1,201910
282,8,7,1,1,201810
283,7,6,2,1,201310
284,2,2,2,1,201310
285,8,7,1,3,201910
286,2,2,1,3,201710
287,1,1,1,3,201310
288,4,2,2,2,201810
289,3,3,2,1,202010
290,10,8,2,1,202010
291,8,7,2,2,201710
292,3,3,2,1,201510
293,9,8,1,2,201510
294,1,1,2,2,201710
295,8,7,2,2,201510
296,1,1,1,3,201410
297,3,3,1,1,201610
298,1,1,1,3,202010
299,8,7,2,1,201310
300,9,8,1,3,201810
301,3,3,1,3,201510
302,6,5,2,1,202010
303,9,8,2,1,201610
304,6,5,2,1,201910
305,5,4,1,1,201310
306,5,4,1,3,201310
307,1,1,1,3,201410
308,6,5,2,2,201310
309,2,2,1,3,201610
310,1,1,1,3,201510
311,6,5,2,1,201410
312,3,3,1,3,201310
313,9,8,1,2,202010
314,9,8,2,1,201310
315,4,2,2,2,201410
316,1,1,2,1,201510
317,1,1,1,2,201710
318,8,7,2,1,201610
319,10,8,2,2,201410
320,6,5,2,1,201610
321,10,8,1,2,202010
322,10,8,2,1,202010
323,9,8,1,3,202010
324,3,3,1,3,201910
325,7,6,2,1,201910
326,3,3,2,2,201810
327,10,8,2,2,201810
328,4,2,1,3,201410
329,3,3,2,1,201610
330,8,7,1,1,201610
331,6,5,2,2,201810
332,4,2,2,1,201810
333,4,2,1,2,201310
334,1,1,2,2,201910
335,6,5,1,2,201410
336,4,2,1,3,201610
337,7,6,2,2,201610
338,4,2,2,1,201310
339,2,2,1,2,201810
340,10,8,1,2,201610
341,2,2,1,1,201310
342,5,4,2,1,201610
343,8,7,1,2,201710
344,8,7,2,1,201410
345,7,6,1,2,201410
346,9,8,1,3,201310
347,2,2,1,1,201510
348,8,7,1,3,201710
349,5,4,2,2,201610
350,9,8,1,2,201910
351,4,2,1,3,202010
352,8,7,1,1,201710
353,8,7,2,2,201510
354,6,5,1,2,201410
355,7,6,2,2,201610
356,2,2,2,1,201410
357,5,4,1,2,201510
358,4,2,2,2,201910
359,4,2,1,3,201310
360,1,1,2,2,201910
361,5,4,1,3,201410
362,5,4,2,2,201510
363,4,2,2,2,201810
364,9,8,1,2,201910
365,1,1,1,3,201610
366,6,5,2,2,201610
367,3,3,1,2,201710
368,10,8,2,2,201710
369,9,8,2,1,202010
370,6,5,1,1,202010
371,9,8,1,2,202010
372,7,6,2,2,201510
373,9,8,1,3,201610
374,4,2,1,3,201310
375,2,2,1,1,201410
376,9,8,2,2,202010
377,1,1,1,3,201510
378,5,4,1,2,201810
379,4,2,1,2,201610
380,10,8,1,3,201910
381,7,6,1,1,201910
382,5,4,2,2,201810
383,5,4,2,1,201610
384,9,8,1,3,201610
385,1,1,2,2,201510
386,9,8,2,2,201810
387,8,7,1,1,201910
388,3,3,1,2,201610
389,7,6,2,1,201310
390,6,5,1,1,201410
391,7,6,1,3,201810
392,1,1,2,1,201910
393,10,8,2,2,201510
394,4,2,1,1,201710
395,4,2,1,1,201310
396,6,5,1,1,201310
397,2,2,1,1,201410
398,7,6,2,1,201810
399,5,4,2,1,201910
400,9,8,1,3,201910
401,9,8,2,2,201610
402,2,2,2,1,202010
403,10,8,1,3,201610
404,2,2,2,2,201910
405,8,7,1,3,201810
406,1,1,2,2,201310
407,4,2,1,3,201610
408,7,6,1,1,201710
409,5,4,1,2,201310
410,4,2,2,2,201310
411,2,2,1,2,201910
412,1,1,2,2,201710
413,2,2,2,1,201910
414,4,2,2,1,202010
415,9,8,1,1,201510
416,5,4,2,1,201310
417,2,2,1,3,202010
418,10,8,2,2,201310
419,2,2,1,3,201410
420,8,7,1,2,202010
421,9,8,2,1,201910
422,6,5,2,1,201310
423,4,2,2,1,201710
424,9,8,2,2,201610
425,3,3,2,2,202010
426,3,3,1,2,201510
427,2,2,1,3,201310
428,2,2,1,3,201410
429,9,8,2,1,202010
430,5,4,1,1,201810
431,3,3,2,2,201710
432,10,8,2,1,201610
433,10,8,1,3,201910
434,9,8,1,3,201910
435,6,5,1,3,201810
436,2,2,1,2,201410
437,1,1,1,2,201810
438,8,7,2,2,201410
439,9,8,2,2,201310
440,3,3,1,2,201710
441,5,4,1,1,201410
442,9,8,1,3,202010
443,5,4,1,3,201910
444,1,1,2,1,201410
445,6,5,1,1,201410
446,5,4,2,1,201310
447,7,6,1,2,201610
448,1,1,1,2,201610
449,8,7,2,1,201310
450,8,7,1,2,201410
451,8,7,1,3,201810
452,5,4,2,2,201610
453,1,1,1,1,201910
454,2,2,2,1,201410
455,5,4,2,2,201310
456,1,1,1,1,201310
457,7,6,2,1,201510
458,4,2,2,2,201610
459,2,2,2,1,201610
460,4,2,1,1,201610
461,7,6,2,2,201310
462,4,2,1,1,201510
463,8,7,1,3,201510
464,3,3,1,1,201410
465,7,6,2,1,201910
466,7,6,1,2,201310
467,6,5,1,2,201710
468,4,2,1,1,201310
469,2,2,1,3,201810
470,4,2,2,1,201410
471,6,5,1,2,201610
472,6,5,2,2,201910
473,4,2,2,2,202010
474,7,6,2,1,201710
475,1,1,2,2,201710
476,3,3,2,1,201310
477,2,2,1,1,201910
478,9,8,1,2,201810
479,2,2,2,2,201310
480,7,6,2,2,201610
481,5,4,1,2,201610
482,5,4,1,1,201310
483,2,2,2,1,202010
484,9,8,1,2,202010
485,5,4,2,1,201710
486,8,7,1,2,201710
487,8,7,1,2,201510
488,8,7,2,1,201910
489,2,2,2,2,201910
490,4,2,2,1,201510
491,1,1,1,3,201910
492,1,1,2,1,201510
493,9,8,1,2,201610
494,2,2,1,3,201410
495,3,3,2,2,201510
496,5,4,1,3,201510
497,10,8,1,2,201310
498,5,4,1,1,201610
499,4,2,1,1,201510
500,4,2,1,2,201510
501,4,2,1,1,201310
502,2,2,2,1,201510
503,6,5,1,1,201310
504,8,7,2,1,201810
505,7,6,1,1,201710
506,8,7,2,2,201710
507,6,5,2,2,201710
508,6,5,1,1,201510
509,2,2,2,2,201610
510,6,5,2,2,201610
511,10,8,2,2,201910
512,8,7,2,1,202010
513,6,5,1,2,201510
514,1,1,1,3,202010
515,8,7,2,2,201910
516,3,3,2,2,201310
517,1,1,2,1,201710
518,9,8,1,3,201910
519,9,8,2,2,201810
520,10,8,2,2,202010
521,10,8,1,1,201710
522,4,2,1,2,201310
523,7,6,1,2,201510
524,3,3,2,1,201610
525,8,7,2,1,201510
526,5,4,1,2,201510
527,8,7,1,3,201810
528,1,1,2,1,201510
529,1,1,1,1,201310
530,9,8,1,2,201910
531,1,1,2,1,201710
532,2,2,1,3,201710
533,5,4,2,1,201410
534,2,2,2,2,201910
535,3,3,1,1,201410
536,10,8,1,3,201810
537,1,1,1,1,201510
538,7,6,2,1,201810
539,7,6,1,2,202010
540,10,8,2,2,201910
541,7,6,2,1,201810
542,8,7,1,3,201310
543,6,5,1,2,201310
544,1,1,2,2,201810
545,4,2,1,1,201310
546,5,4,2,1,201310
547,10,8,1,1,201410
548,1,1,2,1,201610
549,1,1,2,2,201910
550,4,2,1,3,201710
551,7,6,1,1,201910
552,4,2,1,1,201910
553,8,7,1,1,201410
554,7,6,1,3,201910
555,1,1,2,2,201310
556,9,8,2,1,201710
557,3,3,1,1,202010
558,5,4,1,3,202010
559,7,6,2,2,202010
560,4,2,2,1,201810
561,5,4,2,2,201410
562,1,1,1,3,201910
563,10,8,2,2,201410
564,8,7,2,1,201810
565,2,2,2,1,202010
566,8,7,1,2,202010
567,2,2,2,1,202010
568,6,5,1,1,201610
569,8,7,1,3,201910
570,8,7,2,1,201710
571,1,1,1,3,201910
572,1,1,1,1,201710
573,8,7,2,2,201910
574,10,8,2,1,201810
575,6,5,2,1,201510
576,8,7,2,1,201910
577,10,8,2,1,201310
578,8,7,2,1,201510
579,8,7,2,2,201710
580,9,8,2,1,201610
581,8,7,2,2,201510
582,2,2,2,2,201710
583,9,8,2,2,201910
584,5,4,1,2,201510
585,6,5,1,2,201810
586,1,1,1,1,201510
587,10,8,2,1,201810
588,4,2,2,1,201610
589,9,8,2,2,201610
590,2,2,2,1,201310
591,9,8,2,1,201510
592,10,8,2,1,201510
593,1,1,1,3,202010
594,5,4,2,2,201610
595,3,3,2,2,201810
596,2,2,1,2,201610
597,2,2,2,1,201810
598,7,6,2,2,201710
599,8,7,2,1,201410
600,3,3,2,1,201610
601,1,1,1,1,201610
602,9,8,2,1,201710
603,4,2,1,3,201710
604,6,5,1,2,201610
605,3,3,1,1,201410
606,4,2,1,1,202010
607,7,6,1,2,201610
608,7,6,1,3,201410
609,5,4,1,3,201610
610,9,8,1,1,201310
611,4,2,2,1,201510
612,10,8,2,2,201310
613,3,3,1,3,201410
614,8,7,2,1,202010
615,1,1,2,1,201510
616,3,3,2,2,201710
617,5,4,1,3,201410
618,1,1,2,1,202010
619,5,4,1,1,201610
620,2,2,2,1,201510
621,6,5,2,2,201710
622,5,4,1,1,201310
623,2,2,1,3,201410
624,8,7,1,3,201310
625,4,2,2,1,201710
626,1,1,1,3,201910
627,4,2,1,3,201610
628,10,8,2,2,201910
629,10,8,2,2,201410
630,5,4,2,1,201810
631,5,4,1,1,201410
632,1,1,2,1,201910
633,10,8,1,1,201710
634,4,2,2,2,201610
635,1,1,1,1,202010
636,3,3,1,3,201410
637,3,3,2,1,201910
638,5,4,1,2,201610
639,10,8,2,1,202010
640,8,7,1,2,201610
641,4,2,1,2,201510
642,1,1,2,2,201810
643,8,7,1,3,201610
644,10,8,1,1,201610
645,10,8,2,1,201310
646,2,2,2,2,201810
647,1,1,1,3,202010
648,2,2,2,1,202010
649,1,1,2,1,201810
650,9,8,1,3,201310
651,8,7,1,2,201510
652,10,8,1,1,201810
653,6,5,2,2,201510
654,5,4,1,1,201310
655,9,8,1,1,202010
656,10,8,2,2,201310
657,2,2,2,1,201310
658,8,7,2,2,201410
659,3,3,1,3,201710
660,1,1,1,1,201610
661,2,2,2,1,201310
662,10,8,1,2,201410
663,4,2,1,2,201710
664,5,4,2,1,201510
665,4,2,1,1,201310
666,3,3,1,3,201610
667,2,2,1,3,201310
668,5,4,2,1,201910
669,1,1,2,1,201910
670,10,8,1,1,201610
671,10,8,2,1,201410
672,7,6,2,2,201710
673,6,5,1,2,201310
674,9,8,2,1,202010
675,6,5,1,2,202010
676,6,5,2,1,202010
677,1,1,1,1,201610
678,9,8,2,2,201410
679,2,2,1,1,202010
680,1,1,1,3,201410
681,6,5,1,2,201510
682,10,8,2,1,201810
683,2,2,1,1,201510
684,8,7,2,2,201410
685,7,6,2,2,201510
686,7,6,1,1,202010
687,10,8,1,1,201310
688,9,8,1,1,201410
689,2,2,2,2,201710
690,4,2,1,3,201410
691,8,7,1,3,201710
692,4,2,1,1,201510
693,8,7,1,3,201810
694,10,8,2,1,201510
695,6,5,2,2,201610
696,1,1,1,2,201310
697,4,2,2,2,201810
698,1,1,2,1,201810
699,10,8,2,1,202010
700,1,1,1,2,201910
701,10,8,1,3,201910
702,4,2,1,2,201710
703,2,2,1,3,201410
704,4,2,2,1,201410
705,9,8,2,2,201710
706,4,2,2,2,201510
707,10,8,1,1,201610
708,8,7,1,2,201510
709,3,3,2,2,201910
710,5,4,1,2,202010
711,10,8,1,2,201610
712,4,2,2,2,201610
713,4,2,2,2,201410
714,6,5,2,1,201610
715,1,1,1,1,201310
716,8,7,2,1,201910
717,1,1,1,2,201610
718,3,3,2,1,201410
719,7,6,1,3,201810
720,7,6,1,2,201710
721,7,6,1,1,201510
722,10,8,1,1,201310
723,6,5,2,2,201610
724,7,6,1,2,201510
725,5,4,1,2,201410
726,7,6,2,2,201310
727,5,4,1,2,201910
728,2,2,2,2,201610
729,10,8,1,1,201910
730,4,2,2,2,201310
731,5,4,1,2,201510
732,8,7,1,1,202010
733,4,2,1,2,201310
734,1,1,1,3,201910
735,3,3,1,3,202010
736,4,2,2,1,201810
737,8,7,1,1,201710
738,10,8,1,3,201810
739,9,8,2,1,201610
740,2,2,2,2,201910
741,3,3,1,1,201810
742,6,5,1,1,201410
743,6,5,1,2,201410
744,9,8,1,2,201910
745,7,6,2,2,201610
746,5,4,2,2,201710
747,2,2,1,3,201710
748,10,8,1,3,201610
749,3,3,2,2,201910
750,2,2,1,2,201310
751,4,2,1,3,201610
752,6,5,1,3,201410
753,2,2,1,1,201510
754,2,2,1,1,201510
755,5,4,1,2,202010
756,8,7,2,1,201610
757,4,2,1,1,201410
758,8,7,2,2,201710
759,10,8,2,1,201910
760,7,6,1,1,201510
761,9,8,2,2,201510
762,1,1,2,1,201610
763,9,8,1,2,202010
764,3,3,1,3,201610
765,5,4,1,2,201510
766,2,2,2,2,201410
767,5,4,1,2,201610
768,8,7,1,3,201410
769,10,8,1,1,201710
770,4,2,1,3,202010
771,5,4,1,2,201310
772,4,2,1,2,202010
773,7,6,2,1,201410
774,6,5,2,1,201410
775,9,8,2,1,201710
776,7,6,2,1,201910
777,5,4,1,1,201910
778,5,4,1,1,201510
779,1,1,1,1,201610
780,2,2,2,2,201510
781,6,5,1,1,201510
782,3,3,2,1,201410
783,3,3,2,2,201510
784,4,2,2,2,201910
785,8,7,1,2,202010
786,10,8,2,2,201410
787,4,2,1,1,201510
788,10,8,1,2,201710
789,7,6,1,1,201810
790,7,6,1,2,201510
791,5,4,1,2,201710
792,2,2,1,2,201910
793,6,5,1,2,201510
794,7,6,1,2,201710
795,6,5,2,1,201910
796,10,8,1,2,201610
797,2,2,2,2,201410
798,1,1,1,2,201410
799,1,1,1,1,201410
800,7,6,2,1,201910
801,2,2,1,3,201910
802,5,4,1,2,201510
803,6,5,1,2,201910
804,3,3,2,1,201610
805,4,2,2,1,201410
806,10,8,1,3,202010
807,1,1,2,2,201610
808,10,8,1,2,201610
809,10,8,2,1,202010
810,4,2,1,1,201510
811,3,3,2,1,201510
812,2,2,1,1,201410
813,9,8,1,3,201610
814,6,5,2,2,201910
815,6,5,1,2,201610
816,2,2,2,2,201310
817,6,5,2,2,201710
818,7,6,1,1,202010
819,2,2,1,3,201310
820,7,6,1,2,201910
821,10,8,2,2,202010
822,5,4,1,3,201510
823,2,2,1,3,201410
824,5,4,1,3,201810
825,2,2,1,3,201910
826,6,5,1,3,201910
827,5,4,1,1,201510
828,7,6,2,1,201710
829,9,8,1,1,201610
830,3,3,1,1,201510
831,4,2,1,1,201810
832,10,8,1,2,201810
833,4,2,2,2,202010
834,2,2,2,2,201310
835,1,1,1,2,201310
836,4,2,2,2,201310
837,5,4,2,2,202010
838,1,1,2,1,202010
839,9,8,2,1,201710
840,2,2,1,3,202010
841,8,7,2,2,201510
842,7,6,1,2,201810
843,5,4,2,1,201810
844,2,2,1,1,201810
845,6,5,1,3,201910
846,7,6,1,1,201910
847,7,6,2,1,202010
848,5,4,1,3,201410
849,6,5,2,1,201710
850,10,8,2,2,201410
851,2,2,1,3,201910
852,6,5,1,2,201510
853,2,2,1,1,201510
854,6,5,2,2,201310
855,8,7,2,2,201410
856,5,4,1,2,201610
857,8,7,1,2,201310
858,5,4,1,2,201310
859,1,1,1,1,201310
860,6,5,2,1,202010
861,7,6,1,2,201410
862,8,7,2,1,201410
863,6,5,1,2,201910
864,2,2,2,2,201910
865,2,2,2,1,201610
866,4,2,2,1,201810
867,4,2,2,1,201410
868,10,8,2,2,201710
869,6,5,2,1,201410
870,10,8,2,1,201610
871,1,1,2,2,202010
872,6,5,1,3,201510
873,4,2,1,3,201910
874,6,5,1,2,202010
875,8,7,1,2,201610
876,5,4,1,2,201610
877,10,8,2,2,201610
878,7,6,2,1,201910
879,5,4,2,2,201410
880,7,6,2,2,201410
881,9,8,2,2,201710
882,5,4,2,1,201310
883,10,8,1,2,201410
884,1,1,2,1,201410
885,4,2,2,2,202010
886,4,2,2,2,201510
887,3,3,2,1,201310
888,3,3,1,3,202010
889,8,7,1,1,201310
890,7,6,1,3,201310
891,4,2,2,2,201710
892,2,2,1,3,201710
893,1,1,1,2,201510
894,7,6,1,1,201510
895,2,2,2,1,201510
896,10,8,2,2,201810
897,8,7,2,2,202010
898,1,1,1,2,201610
899,6,5,1,3,201710
900,5,4,2,2,201510
901,10,8,2,2,201810
902,4,2,1,2,202010
903,3,3,2,1,201910
904,5,4,2,2,201510
905,4,2,2,1,201710
906,9,8,2,2,201710
907,2,2,1,1,201410
908,5,4,2,1,201410
909,9,8,1,2,201910
910,6,5,2,2,201710
911,8,7,1,3,201510
912,9,8,1,1,201710
913,3,3,1,2,201510
914,10,8,1,2,201310
915,10,8,1,3,201910
916,1,1,1,3,201910
917,1,1,1,2,201510
918,5,4,2,2,201610
919,4,2,1,3,201310
920,3,3,1,3,201810
921,10,8,1,1,201510
922,8,7,2,1,202010
923,5,4,2,1,201310
924,10,8,2,2,201910
925,2,2,1,3,201510
926,10,8,2,1,201710
927,9,8,2,2,201710
928,9,8,1,2,202010
929,4,2,1,3,201910
930,1,1,2,2,201510
931,9,8,1,3,201510
932,1,1,1,3,201910
933,9,8,2,1,201310
934,8,7,1,3,201410
935,8,7,2,2,201710
936,1,1,1,2,201310
937,7,6,2,2,201810
938,3,3,1,2,201410
939,1,1,2,1,201710
940,8,7,1,1,201610
941,1,1,2,1,201610
942,2,2,1,1,201810
943,2,2,1,3,201710
944,1,1,1,2,201610
945,9,8,1,1,201510
946,7,6,1,3,201810
947,6,5,1,1,201710
948,6,5,2,2,201810
949,4,2,2,1,201810
950,2,2,1,2,201610
951,4,2,1,3,201610
952,7,6,2,2,201410
953,2,2,1,2,201510
954,5,4,1,3,202010
955,4,2,2,2,201710
956,7,6,1,2,201510
957,10,8,2,1,201810
958,5,4,2,1,201310
959,2,2,2,1,201710
960,1,1,2,1,201410
961,1,1,1,1,201310
962,7,6,2,1,202010
963,6,5,1,2,201610
964,7,6,1,3,201310
965,3,3,2,1,201510
966,10,8,2,2,201610
967,1,1,1,1,201610
968,6,5,1,3,201510
969,9,8,1,1,202010
970,6,5,1,3,201410
971,6,5,2,1,201310
972,5,4,2,1,201310
973,6,5,1,2,201710
974,3,3,1,3,201810
975,8,7,1,1,201710
976,1,1,2,1,201710
977,4,2,2,1,201310
978,8,7,2,2,201810
979,1,1,2,1,201410
980,8,7,1,1,201310
981,4,2,2,1,201610
982,4,2,2,2,201710
983,9,8,2,1,201510
984,1,1,1,1,201310
985,1,1,1,2,201610
986,8,7,1,1,201810
987,10,8,1,1,201910
988,8,7,1,1,202010
989,2,2,2,1,201810
990,8,7,1,3,202010
991,9,8,1,2,202010
992,2,2,2,2,201510
993,9,8,1,2,201910
994,7,6,1,2,201310
995,2,2,1,1,201810
996,4,2,2,1,201910
997,10,8,1,2,201610
998,6,5,1,2,201610
999,1,1,2,1,201310
1000,10,8,2,1,201810
1001,3,3,1,1,201910
1002,8,7,1,1,201710
1003,6,5,2,1,201810
1004,1,1,1,1,201710
1005,8,7,2,1,201310
1006,9,8,1,3,201610
1007,8,7,2,1,202010
1008,2,2,2,1,201710
1009,1,1,2,2,201910
1010,3,3,2,1,201410
1011,5,4,2,1,202010
1012,4,2,1,1,201710
1013,9,8,1,2,201810
1014,2,2,1,1,201610
1015,10,8,1,2,201510
1016,9,8,2,2,202010
1017,9,8,2,1,201410
1018,2,2,1,3,201910
1019,2,2,1,3,201610
1020,2,2,2,2,201410
1021,3,3,2,1,201610
1022,7,6,1,1,201410
1023,5,4,1,3,201910
1024,2,2,2,1,201410
1025,10,8,2,1,202010
1026,5,4,1,2,201410
1027,4,2,1,3,201610
1028,3,3,1,3,201710
1029,4,2,2,2,201910
1030,1,1,1,1,201710
1031,3,3,2,2,201610
1032,4,2,1,1,201810
1033,9,8,1,2,202010
1034,2,2,2,1,201310
1035,5,4,2,1,201510
1036,10,8,1,2,201810
1037,2,2,2,1,201310
1038,8,7,1,2,201510
1039,5,4,1,1,201410
1040,3,3,1,2,201410
1041,1,1,1,3,201310
1042,1,1,2,1,202010
1043,10,8,2,2,201910
1044,1,1,1,3,201510
1045,2,2,2,2,201410
1046,7,6,2,1,201410
1047,10,8,1,3,201410
1048,9,8,1,1,201410
1049,3,3,1,1,201410
1050,9,8,1,1,201810
1051,2,2,2,1,201510
1052,7,6,2,1,201510
1053,9,8,1,1,201410
1054,2,2,2,2,201710
1055,5,4,1,3,202010
1056,8,7,1,3,201410
1057,1,1,2,2,201510
1058,5,4,1,3,202010
1059,2,2,2,1,201510
1060,7,6,2,1,201710
1061,9,8,1,1,201810
1062,6,5,1,1,201710
1063,8,7,2,2,201710
